,company_name,stock_data
0,500002,"[1348.95, 1353.75, 1398.35, 1382.5, 1405.85, 1391.55, 1381.8, 1374.3, 1378.2, 1392.45, 1397.0, 1402.4, 1433.45, 1437.45, 1431.35, 1399.45, 1335.9, 1333.05, 1316.0, 1303.0, 1305.45]"
1,500043,"[969.95, 1000.35, 994.95, 999.05, 1039.75, 1058.45, 1060.05, 1051.7, 1039.75, 1058.75, 1016.75, 1069.15, 1080.4, 1088.5, 1090.55, 1092.15, 1098.3, 1115.0, 1105.75, 1116.15, 1105.8]"
2,533272,"[13.8, 14.01, 13.71, 16.45, 18.43, 21.15, 20.1, 19.05, 18.95, 18.9, 18.75, 19.2, 20.1, 21.1, 21.4, 22.45, 23.55, 24.7, 25.9, 27.15, 26.0]"
3,538521,"[21.7, 21.7, 21.6, 21.6, 21.6, 21.15, 21.5, 21.85, 21.65, 22.0, 21.7, 22.05, 22.25, 22.75, 22.75, 22.7, 22.85, 22.4, 22.95, 23.0]"
4,505526,"[50.1, 51.1, 52.1, 53.1, 54.0, 54.1, 55.05, 53.95, 52.9, 51.85, 49.3, 48.25, 49.9, 48.15, 48.45, 50.85, 53.35, 56.0, 58.8, 60.0, 63.0]"
5,524743,"[16.4, 15.6, 16.35, 17.15, 18.0, 18.9, 19.8, 20.75, 21.75, 22.8, 23.9, 25.05, 26.3]"
6,540190,"[13.75, 14.43, 14.43, 14.43, 15.15, 15.9, 16.65, 17.48, 18.35, 18.35, 19.25, 20.21, 21.2, 21.9, 22.99, 24.13]"
7,539009,"[57.5, 59.5, 61.7, 62.7, 63.25, 63.0, 62.95, 64.1, 64.95, 64.95, 65.95, 65.5, 63.85, 65.05, 67.05, 66.9, 68.5, 68.9, 69.75, 70.85, 72.9]"
8,531592,"[68.05, 71.45, 75.0, 78.75, 82.65, 86.75, 91.05, 95.6, 100.35, 105.35, 107.45, 109.55, 111.7, 113.9, 116.15, 118.45, 120.8]"
9,500174,"[1.18, 1.23, 1.29, 1.35, 1.41, 1.48, 1.55, 1.62, 1.7, 1.78, 1.86, 1.77, 1.85, 1.94, 2.03, 2.13]"
10,524590,"[14.0, 14.65, 14.35, 14.35, 15.0, 15.75, 16.53, 17.35, 18.2, 19.1]"
