movie,year,imdb,votes
Soldiers of the Cross,1900,6.3,36
Phono-Cinéma-Théâtre,1900,5.8,10
X Rays,1900,4.2,17
Trouble in Hogan's Alley,1900,4.6,12
Family Troubles,1900,4.9,17
The Tribulations of an Amateur Photographer,1900,4.4,12
Caught,1900,5.2,13
Boarding School Girls' Pajama Parade,1900,5.4,14
Buffalo Bill's Wild West Parade,1900,4.4,34
"Pierrot's Problem, or How to Make a Fat Wife Out of Two Lean Ones",1900,3.9,17
Forward,1901,5.3,19
Snow White,1902,5.1,23
Sr. Wrangler Mr. R.P. Paranjpe,1902,4.3,13
The Three Musketeers,1903,4.3,15
Who Said Watermelon,1903,4.6,15
Alibaba and the Forty Thieves,1903,4.8,14
Reliance: Shamrock III,1903,4.8,18
The Divorce,1903,3.8,10
Der Specht,1903,4.9,16
Massacres de Macédonie,1903,6.5,15
"Pica, pica Compadrito",1903,3.9,12
Tôkyôza katsudô daishashin,1903,4.2,14
Abajo la careta,1904,5.2,9
The Bengali Fisherman,1904,4.4,9
Los políticos,1904,4.8,13
Elämää esplanaadikadulla,1904,4.3,10
Asahi katsudô daishashin,1904,5.2,12
Valsons,1905,4.1,14
La course aux tonneaux,1905,5.4,10
Halfaouine,1905,3.6,12
Eine Fliegenjagd oder Die Rache der Frau Schultze,1905,5.3,13
Kedélyes bohémek,1905,3.2,8
Valtiopäiväkuvia,1905,3.3,6
Ensalada criolla,1905,4,12
La malia dell'oro,1905,4.7,15
The Story of the Kelly Gang,1906,6.2,489
Primi calori,1906,4.8,5
The Joe Gans-Battling Nelson Fight,1906,3.7,27
El soldado de la Independencia,1906,3.8,6
Impersonation of Nelson-McGovern Fight,1906,4.5,8
Un soulier pour un jambon,1906,5.4,7
Cavalleria infernale,1906,4.5,8
Holger Drachmann,1906,3.4,15
Vappu Helsingissä,1906,4.2,6
Sønnens hævn,1906,4.6,5
Réactions de Suzanne,1906,3.5,6
Krybskytten,1906,4.1,9
El pechador,1906,3.9,11
Lika mot lika,1906,4.5,14
Highlights from The Mikado,1906,4.1,9
Robbery Under Arms,1907,5.1,13
Tom Sawyer,1907,6.3,21
El grito de Dolores o La independencia de México,1907,5.3,14
Faust,1907,4.7,12
"Dejá é jugar, ché, ché",1907,4.5,6
Mister Wiskey,1907,3.6,11
Komm du kleines Kohlenmädchen,1907,5,8
Why Girls Leave Home,1907,4,10
Balett ur op. Mignon/Jössehäradspolska,1907,3.4,10
The Fairylogue and Radio-Plays,1908,5.1,32
Don Álvaro o la fuerza del sino,1908,4.1,7
Hamlet,1908,3.3,11
Don Quijote,1908,4.9,9
El pastorcito de Torrente,1908,6.9,7
Cuisine magnétique,1908,5.8,13
Le devoir,1908,5.7,6
"Donnerwetter, tadellos",1908,5.5,19
Taikoki judanme,1908,5.7,7
Trallala Lied,1908,5.7,6
Los carreros,1908,4.6,8
I promessi sposi,1908,3.7,7
Os Guaranis,1908,3.1,9
Gans-Nelson Fight,1908,4.5,10
Resa Stockholm-Göteborg genom Göta och Trollhätte kanaler,1908,5.2,8
La glu,1908,4.5,6
The Life of Moses,1909,5.4,27
De onde Veje,1909,5.1,7
Andreas Hofer,1909,4.9,7
Gøngehøvdingen,1909,4.1,7
Cycle Rider and the Witch,1909,5.4,16
Faldgruben,1909,5,8
Berikaoba-Keenoba,1909,5.7,9
Salome Mad,1909,4.6,8
Locura de amor,1909,4.9,7
"Les heures - Épisode 4: Le soir, la nuit",1909,5.5,8
Carmen,1909,5.2,10
The Three Musketeers,1909,3.8,8
A Viúva Alegre,1909,5.4,7
Pega na Chaleira,1909,3.7,7
Le miroir hypnotique,1909,5.8,6
Before and After,1909,5.8,9
Raffaello Sanzio e la fornarina,1909,5.7,6
Höstfröjd i Friesens park,1909,5.2,9
Um Cavalheiro Deveras Obsequioso,1909,5.3,7
Marin Faliero doge di Venezia,1909,5.6,8
Sonho de Valsa,1909,2.8,12
"Les heures - Épisode 3: Midi, la vesprée, le crépuscule",1909,5.3,11
Cochero de tranvía,1909,5,8
Den lille hornblæser,1909,4,17
"Les heures - Épisode 2: Le matin, le jour",1909,5.2,8
Matelot,1909,4.5,6
Count Ugolini,1909,4.6,13
Das Glückshufeisen,1909,4.4,7
The Snowman,1909,4.5,6
O Nono Mandamento,1909,3.9,7
Hokkyoku tanken,1909,3.5,6
Kodomo no jitensha,1909,4.5,6
Little Snowdrop,1910,3.6,23
Dorothy and the Scarecrow in Oz,1910,5.2,38
The White Slave Trade,1910,5.7,65
Jane Eyre,1910,5.8,25
Pyotr Velikiy,1910,5.4,14
Gentleman Joe,1910,5,6
Abraham Lincoln's Clemency,1910,4.4,13
Peder Tordenskjold,1910,4.1,12
"Hamlet, Prince of Denmark",1910,5.2,16
The Squatter's Daughter,1910,6.3,10
Sumurûn,1910,5.8,11
Amleto,1910,3.2,12
The Connecticut Yankee,1910,5.7,6
Rainha Depois de Morta Inês de Castro,1910,5.2,13
En rekrut fra 64,1910,5.3,15
Sherlock Holmes VI,1910,3.9,10
Kapergasten,1910,5.2,8
The Sanitarium,1910,6.3,19
The Duchess of Langeais,1910,5.1,9
Ansigttyven I,1910,4.7,9
The Red Inn,1910,5.9,7
Amor gitano,1910,5.7,6
Valdemar Sejr,1910,4.8,9
Ansigttyven II,1910,4.9,8
Lucrezia Borgia,1910,4.4,12
Don Juan de Serrallonga,1910,2.6,8
Le roi des parfums,1910,5.1,7
Andreuccio da Perugia,1910,5,7
Paz e Amor,1910,3.6,7
Rip Van Winkle,1910,4.9,8
The Devil on Two Sticks,1910,5,22
Japanisches Opfer,1910,5.2,10
Mil Adultérios,1910,5.1,7
Die Pulvermühle,1910,5.3,9
La creación del himno,1910,4.3,13
Abandoned,1910,5.2,8
La revolución de Mayo,1910,4.9,49
Nelson-Wolgast Fight,1910,6.5,6
Göteborgarens marstrandsresa,1910,5.2,6
Fra storstadens dyb,1910,3.8,6
Giovanni il conquistatore,1910,4.5,8
Viaje al interior del Perú,1910,4.3,6
Rienzi,1910,4.3,7
Lucrezia Borgia,1910,4.4,10
Cavalleria rusticana,1910,4.7,6
Dante's Inferno,1911,7.1,1777
Den sorte drøm,1911,6.2,157
Anna Karenina,1911,5.3,17
Oborona Sevastopolya,1911,6,122
Nell Gwynne,1911,4.9,7
The Traitress,1911,6.3,45
Arrah-Na-Pogue,1911,3.6,10
Balletdanserinden,1911,5.3,84
Der fremde Vogel,1911,5.9,19
Amor fatal,1911,7.8,13
As in a Looking Glass,1911,5.5,25
The Colleen Bawn,1911,4.4,9
Hamlet,1911,3.9,12
A Dog's Tale,1911,4.5,6
The Padre,1911,4.3,7
Karadjordje,1911,6.6,139
"Captain Starlight, or Gentleman of the Road",1911,5.1,7
The Bushranger's Bride,1911,6,9
Pinocchio,1911,5.9,66
L'électrocuté,1911,4.6,10
Flaming Arrows,1911,4.7,10
The Great Moment,1911,5.9,8
The Crusaders,1911,5.6,12
Skæbnebæltet,1911,4.5,8
Harry the Footballer,1911,4.3,18
In the Hands of Impostors,1911,5.5,20
The Island of Terror,1911,5.1,7
Don Pedro el Cruel,1911,4.2,8
The Luck of Roaring Camp,1911,4.2,6
Însir'te margarite,1911,8.6,11
One Hundred Years Ago,1911,3.2,6
Attack on the Gold Escort,1911,4.3,13
Dienertreue,1911,5.1,7
Manon Lescaut,1911,4.5,6
De vliegdemonstraties op Rozenoord,1911,5.4,9
Le bonheur sous la main,1911,4.2,6
Beatrice Cenci,1911,5.2,6
For a Baby's Sake,1912,5.4,9
Dan Morgan,1911,5.2,6
The Squatter's Son,1911,4,7
Rudi na záletech,1911,4.5,29
La Vénus d'Arles,1911,4.6,7
"Bushranger's Ransom, or A Ride for Life",1911,4.7,6
The Lost Chord,1911,5.9,7
It Is Never Too Late to Mend,1911,4.5,6
"From the Manger to the Cross; or, Jesus of Nazareth",1912,5.8,412
Cleopatra,1912,5.1,379
The Life and Death of King Richard III,1912,5.6,203
Camille,1912,6,21
The Flying Circus,1912,6.5,70
As You Like It,1912,5.1,8
Satan,1912,5.9,15
Oliver Twist,1912,5.1,16
1812 God,1912,5.8,74
The Independence of Romania,1912,6.8,182
Pilgrim's Progress,1912,5.9,13
Oliver Twist,1912,4.7,10
Les misérables,1912,5.7,17
Today and Tomorrow,1912,5.6,22
The Last Bohemian,1913,5.2,24
The Springtime of Life,1912,6.7,72
Saved in Mid-Air,1912,6.6,7
Grannie,1912,5.1,13
The Adventures of Lieutenant Petrosino,1912,4.6,12
The Mystery of the Kador Cliffs,1912,7.2,256
Vampyrdanserinden,1912,5.8,13
Wooden Athletes,1912,5.1,8
The Great Circus Catastrophe,1912,5.9,38
Three Tales of Terror,1912,4.1,8
The Evils of Alcohol,1912,7.4,7
The Cheat,1912,5.9,7
Anna Karénine,1912,5.1,8
A Pueblo Romance,1912,5.3,7
The Bear Tamer from the Flying Circus,1912,6.1,28
Cooee and the Echo,1912,5.6,12
Jess,1912,5.9,14
The Mummy,1912,5.8,27
An Episode from the Ramayana,1912,6,11
Keserü szerelem,1912,5.3,7
La fièvre de l'or,1912,7.4,9
Le circuit de l'alcool,1912,5.3,27
The Student of Prague,1913,6.6,1507
Quo Vadis?,1913,6.2,223
Fantômas: In the Shadow of the Guillotine,1913,6.9,1778
The Last Days of Pompeii,1913,6.1,443
Christmas Eve,1913,6.5,189
Ivanhoe,1913,5.5,35
"Germinal; or, The Toll of Labor",1913,7,77
Ingeborg Holm,1913,7.2,827
Robin Hood,1913,5.9,27
Traffic in Souls,1913,6.1,503
Fantomas: The Man in Black,1913,6.9,1239
The Adventures of Kathlyn,1913,6,15
Tess of the D'Urbervilles,1913,5.9,7
Fantômas: The Dead Man Who Killed,1913,6.9,960
The Battle of Gettysburg,1913,6.4,18
The Prisoner of Zenda,1913,6,27
Atlantis,1913,6.7,285
The Sea Wolf,1913,5.9,7
Antony and Cleopatra,1913,5.5,30
His Neighbor's Wife,1913,6.4,8
A Message from Mars,1913,5.2,100
"Les Misérables, Part 1: Jean Valjean",1913,6,19
