,movie,year,imdb,votes
0,Aquaman,2018,7.8,44401
1,Mowgli: Legend of the Jungle,2018,6.6,23111
2,Spider-Man: Into the Spider-Verse,2018,8.8,31129
3,Mortal Engines,2018,6.5,14366
4,Dumplin',2018,6.9,6747
5,Creed II,2018,7.8,21466
6,Bumblebee,2018,7.3,5432
7,Bohemian Rhapsody,2018,8.3,155950
8,Venom,2018,6.9,178588
9,A Simple Favor,2018,7.0,39111
10,Fantastic Beasts: The Crimes of Grindelwald,2018,6.9,90283
11,The Mule,2018,7.3,3011
12,The Christmas Chronicles,2018,7.2,22619
13,Ralph Breaks the Internet,2018,7.5,22421
14,The Grinch,2018,6.4,13164
15,Roma,2018,8.4,21099
16,Avengers: Infinity War,2018,8.5,542675
17,Mary Queen of Scots,2018,6.5,981
18,Mary Poppins Returns,2018,7.6,2611
19,Robin Hood,2018,5.4,12237
20,The Ballad of Buster Scruggs,2018,7.4,43543
21,A Star Is Born,2018,8.1,118052
22,Vice,2018,6.5,467
23,The Favourite,2018,8.3,6680
24,2.0,2018,7.2,13154
25,Mission: Impossible - Fallout,2018,7.9,187507
26,The Predator,2018,5.5,64518
27,Widows,2018,7.4,23463
28,The House That Jack Built,2018,7.1,10339
29,Ready Player One,2018,7.5,250891
30,Peppermint,2018,6.5,19635
31,Deadpool 2,2018,7.8,317217
32,The Little Mermaid,2018,4.2,3633
33,Smallfoot,2018,6.7,11478
34,Crazy Rich Asians,2018,7.1,57781
35,Welcome to Marwen,2018,5.5,233
36,White Boy Rick,2018,6.5,5566
37,Green Book,2018,8.3,8439
38,Under the Silver Lake,2018,6.5,5986
39,First Man,2018,7.6,62616
40,Vox Lux,2018,6.3,1808
41,Instant Family,2018,7.6,5324
42,The Equalizer 2,2018,6.8,66727
43,The Nun,2018,5.5,67547
44,The Possession of Hannah Grace,2018,5.1,3118
45,The Meg,2018,5.8,83341
46,Ant-Man and the Wasp,2018,7.2,166900
47,Assassination Nation,2018,5.9,4084
48,BlacKkKlansman,2018,7.6,67899
49,Incredibles 2,2018,7.8,151472
50,Black Panther,2018,7.4,427034
51,Mandy,2018,6.7,29384
52,Halloween,2018,7.0,55950
53,Bird Box,2018,6.8,8820
54,Overlord,2018,7.1,17638
55,Outlaw King,2018,7.0,32562
56,The Happytime Murders,2018,5.3,11416
57,Backtrace,2018,3.7,478
58,The House with a Clock in Its Walls,2018,6.1,18009
59,A Quiet Place,2018,7.6,240286
60,Mile 22,2018,6.1,33478
61,Suspiria,2018,7.3,10517
62,Hereditary,2018,7.3,111527
63,Searching,2018,7.7,55790
64,Second Act,2018,5.8,656
65,Colette,2018,6.8,4039
66,The Nutcracker and the Four Realms,2018,5.6,9079
67,Alpha,2018,6.8,29484
68,Lizzie,2018,5.7,1871
69,Solo: A Star Wars Story,2018,7.0,181146
70,The Festival,2018,6.0,1991
71,Sorry to Bother You,2018,7.0,25467
72,Asher,2018,5.4,527
73,Dragon Ball Super: Broly,2018,9.5,1775
74,Night School,2018,5.5,9012
75,Jurassic World: Fallen Kingdom,2018,6.2,182295
76,Annihilation,2018,6.9,188813
77,Ocean's Eight,2018,6.2,111241
78,Destroyer,2018,6.7,689
79,Beautiful Boy,2018,7.3,5929
80,If Beale Street Could Talk,2018,7.2,1330
81,The Girl in the Spider's Web,2018,6.1,8396
82,Rampage,2018,6.1,95940
83,Ben Is Back,2018,6.8,806
84,Boy Erased,2018,7.2,3911
85,The Princess Switch,2018,6.0,9359
86,Tomb Raider,2018,6.4,142993
87,Cold War,2018,7.8,10686
88,Mamma Mia! Here We Go Again,2018,6.9,46670
89,Christopher Robin,2018,7.4,34093
90,Maze Runner: The Death Cure,2018,6.3,80051
91,Sicario: Day of the Soldado,2018,7.1,72902
92,Everybody Knows,2018,7.1,6680
93,Tumbbad,2018,8.5,7650
94,Game Night,2018,7.0,134023
95,The Spy Who Dumped Me,2018,6.0,33763
96,Zero,2018,7.0,7219
97,The Clovehitch Killer,2018,6.5,3925
98,The Hate U Give,2018,6.9,7573
99,A Christmas Prince: The Royal Wedding,2018,5.1,3246
100,Red Sparrow,2018,6.6,116698
101,Capernaum,2018,8.0,2246
102,Goosebumps 2: Haunted Halloween,2018,5.8,5050
103,Operation Finale,2018,6.5,14689
104,Cam,2018,6.0,9929
105,Can You Ever Forgive Me?,2018,7.6,2933
106,The Party's Just Beginning,2018,6.4,460
107,On the Basis of Sex,2018,5.6,326
108,The Kissing Booth,2018,6.2,35354
109,Back Roads,2018,6.5,604
110,Kedarnath,2018,5.5,2037
111,Tag,2018,6.6,61816
112,Skyscraper,2018,5.9,62873
113,Bad Times at the El Royale,2018,7.3,27513
114,Life Itself,2018,5.9,2643
115,Upgrade,2018,7.6,73924
116,Apostle,2018,6.3,20544
117,Battle,2018,6.1,1319
118,The Guilty,2018,7.7,8995
119,Hold the Dark,2018,5.7,20026
120,The Old Man & the Gun,2018,7.3,4818
121,Burning,2018,7.7,7109
122,To All the Boys I've Loved Before,2018,7.3,47238
123,Hotel Transylvania 3: Summer Vacation,2018,6.3,31344
124,Hunter Killer,2018,6.8,9689
125,Climax,2018,7.7,6030
126,Den of Thieves,2018,7.0,58984
127,Fifty Shades Freed,2018,4.5,38317
128,Hotel Artemis,2018,6.1,21570
129,Braven,2018,6.1,19967
130,Girl,2018,7.4,2849
131,Kin,2018,5.7,5726
132,Shoplifters,2018,8.1,6777
133,Blindspotting,2018,7.4,8611
134,The Darkest Minds,2018,5.6,15807
135,Stan & Ollie,2018,7.2,435
136,"Love, Simon",2018,7.7,69222
137,Leave No Trace,2018,7.2,19656
138,Eighth Grade,2018,7.6,23297
139,Pacific Rim: Uprising,2018,5.6,78527
140,At Eternity's Gate,2018,7.0,1193
141,Replicas,2018,6.1,775
142,Secret Santa,2018,5.3,259
143,A Private War,2018,6.9,1321
144,Isle of Dogs,2018,7.9,83451
145,Andhadhun,2018,9.0,19285
146,Air Strike,2018,3.5,1704
147,Unbroken: Path to Redemption,2018,5.5,757
148,The Sisters Brothers,2018,7.2,6469
149,The Front Runner,2018,6.6,1382
150,The First Purge,2018,5.1,32764
151,The Holiday Calendar,2018,5.7,4129
152,Galveston,2018,6.1,3842
