,movie,year,imdb,votes
0,Little Snowdrop,1910,3.6,23
1,Dorothy and the Scarecrow in Oz,1910,5.2,38
2,The White Slave Trade,1910,5.7,65
3,Jane Eyre,1910,5.8,25
4,Pyotr Velikiy,1910,5.4,14
5,Gentleman Joe,1910,5.0,6
6,Abraham Lincoln's Clemency,1910,4.4,13
7,Peder Tordenskjold,1910,4.1,12
8,"Hamlet, Prince of Denmark",1910,5.2,16
9,The Squatter's Daughter,1910,6.3,10
10,Sumurûn,1910,5.8,11
11,Amleto,1910,3.2,12
12,The Connecticut Yankee,1910,5.7,6
13,Rainha Depois de Morta Inês de Castro,1910,5.2,13
14,En rekrut fra 64,1910,5.3,15
15,Sherlock Holmes VI,1910,3.9,10
16,Kapergasten,1910,5.2,8
17,The Sanitarium,1910,6.3,19
18,The Duchess of Langeais,1910,5.1,9
19,Ansigttyven I,1910,4.7,9
20,The Red Inn,1910,5.9,7
21,Amor gitano,1910,5.7,6
22,Valdemar Sejr,1910,4.8,9
23,Ansigttyven II,1910,4.9,8
24,Lucrezia Borgia,1910,4.4,12
25,Don Juan de Serrallonga,1910,2.6,8
26,Le roi des parfums,1910,5.1,7
27,Andreuccio da Perugia,1910,5.0,7
28,Paz e Amor,1910,3.6,7
29,Rip Van Winkle,1910,4.9,8
30,The Devil on Two Sticks,1910,5.0,22
31,Japanisches Opfer,1910,5.2,10
32,Mil Adultérios,1910,5.1,7
33,Die Pulvermühle,1910,5.3,9
34,La creación del himno,1910,4.3,13
35,Abandoned,1910,5.2,8
36,La revolución de Mayo,1910,4.9,49
37,Nelson-Wolgast Fight,1910,6.5,6
38,Göteborgarens marstrandsresa,1910,5.2,6
39,Fra storstadens dyb,1910,3.8,6
40,Giovanni il conquistatore,1910,4.5,8
41,Viaje al interior del Perú,1910,4.3,6
42,Rienzi,1910,4.3,7
43,Lucrezia Borgia,1910,4.4,10
44,Cavalleria rusticana,1910,4.7,6
