,movie,year,imdb,votes
0,Aquaman,2018,7.8,44006
1,Bohemian Rhapsody,2018,8.3,155922
2,Venom,2018,6.9,178513
3,Fantastic Beasts: The Crimes of Grindelwald,2018,6.9,90226
4,Avengers: Infinity War,2018,8.5,542639
5,The Ballad of Buster Scruggs,2018,7.4,43517
6,A Star Is Born,2018,8.1,118029
7,Love Actually,2003,7.6,373025
8,Mission: Impossible - Fallout,2018,7.9,187470
9,The Predator,2018,5.5,64485
10,Ready Player One,2018,7.5,250876
11,Deadpool 2,2018,7.8,317177
12,How the Grinch Stole Christmas,2000,6.1,175100
13,Crazy Rich Asians,2018,7.1,57753
14,First Man,2018,7.6,62585
15,The Greatest Showman,2017,7.7,173225
16,Elf,2003,6.9,181717
17,The Equalizer 2,2018,6.8,66702
18,The Jungle Book,2016,7.4,233916
19,The Nun,2018,5.5,67536
